                                    09 May 2013 22:32:04
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-Holodeck



sa
--

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
20 Nov 2013 16:00:00.000       86.335           1.000000
20 Nov 2013 16:01:00.000       67.123           1.000000
20 Nov 2013 16:02:00.000       48.613           1.000000
20 Nov 2013 16:03:00.000       30.839           1.000000
20 Nov 2013 16:04:00.000       14.066           1.000000
20 Nov 2013 16:05:00.000        1.704           1.000000
20 Nov 2013 16:06:00.000       17.040           1.000000
20 Nov 2013 16:07:00.000       30.271           1.000000
20 Nov 2013 16:08:00.000       43.034           1.000000
20 Nov 2013 16:09:00.000       54.861           1.000000
20 Nov 2013 16:10:00.000       65.252           1.000000
20 Nov 2013 16:11:00.000       74.741           1.000000
20 Nov 2013 16:12:00.000       10.323           0.124431
20 Nov 2013 16:13:00.000        0.000           0.000000
20 Nov 2013 16:14:00.000        0.000           0.000000
20 Nov 2013 16:15:00.000        0.000           0.000000
20 Nov 2013 16:16:00.000        0.000           0.000000
20 Nov 2013 16:17:00.000        0.000           0.000000
20 Nov 2013 16:18:00.000        0.000           0.000000
20 Nov 2013 16:19:00.000        0.000           0.000000
20 Nov 2013 16:20:00.000        0.000           0.000000
20 Nov 2013 16:21:00.000        0.000           0.000000
20 Nov 2013 16:22:00.000        0.000           0.000000
20 Nov 2013 16:23:00.000        0.000           0.000000
20 Nov 2013 16:24:00.000        0.000           0.000000
20 Nov 2013 16:25:00.000        0.000           0.000000
20 Nov 2013 16:26:00.000        0.000           0.000000
20 Nov 2013 16:27:00.000        0.000           0.000000
20 Nov 2013 16:28:00.000        0.000           0.000000
20 Nov 2013 16:29:00.000        0.000           0.000000
20 Nov 2013 16:30:00.000        0.000           0.000000
20 Nov 2013 16:31:00.000        0.000           0.000000
20 Nov 2013 16:32:00.000        0.000           0.000000
20 Nov 2013 16:33:00.000        0.000           0.000000
20 Nov 2013 16:34:00.000        0.000           0.000000
